N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
138,KODEX 단기채권,"102,850",5,0.00%,0,"23,532","22,880",0,"6,060",N/A,N/A
139,대한전선,"2,740",100,-3.52%,500,"23,467","856,473",3.1,"32,950,380",195.71,0.92
140,현대해상,"25,950",150,-0.57%,500,"23,199","89,400",27.96,"297,709",6.27,7.13
141,LS,"71,300",200,-0.28%,"5,000","22,959","32,200",15.16,"48,319",12.56,3.94
142,한화,"30,550",200,0.66%,"5,000","22,900","74,959",17.46,"451,802",7.83,4.79
143,현대엘리베이,"55,900","2,500",4.68%,"5,000","22,816","40,815",27.64,"778,941",20.39,9.78
144,TIGER 200,"43,410",195,-0.45%,0,"22,790","52,500",0,"217,894",N/A,N/A
145,대웅,"38,900",0,0.00%,500,"22,617","58,142",3.77,"187,633",26.28,15.1
146,KODEX 200선물인버스2X,"1,885",20,1.07%,0,"21,515","1,141,400",3.18,"134,470,587",N/A,N/A
147,대웅제약,"185,000","6,000",3.35%,"2,500","21,435","11,587",6.36,"135,321",-194.33,2.38
148,코오롱인더,"78,400",500,-0.63%,"5,000","21,151","26,979",18.85,"176,576",25.98,9.7
149,HDC현대산업개발,"30,800",50,0.16%,"5,000","20,299","65,907",11.3,"168,096",9.81,8.85
150,LS ELECTRIC,"66,900",200,0.30%,"5,000","20,070","30,000",15.12,"140,908",25.51,6.15
151,오뚜기,"534,000","3,000",-0.56%,"5,000","19,608","3,672",12.68,"3,140",20.25,7.93
152,농심,"322,000","1,000",-0.31%,"5,000","19,586","6,083",13.57,"16,229",15.21,7.5
153,진원생명과학,"43,200",800,1.89%,"1,000","19,531","45,212",13.9,"5,363,805",-98.86,-30.43
154,한전기술,"50,700",600,-1.17%,200,"19,378","38,220",1.96,"236,516",115.75,N/A
155,금호타이어,"6,720",20,-0.30%,"5,000","19,304","287,260",4.18,"366,353",-126.79,-6.74
156,동국제강,"20,150",500,-2.42%,"5,000","19,230","95,433",22.09,"665,236",9.13,3.35
157,프레스티지바이오파마,"31,850","1,250",4.08%,0,"19,141","60,096",63.75,"1,403,023",-94.79,N/A
158,한전KPS,"42,450",250,0.59%,200,"19,102","45,000",8.71,"116,115",17.7,8.23
159,솔루스첨단소재,"62,200",200,-0.32%,100,"19,027","30,590",7.88,"334,925",-171.82,-5.1
160,현대백화점,"80,900",100,-0.12%,"5,000","18,933","23,402",18.72,"80,057",19.42,1.65
161,KODEX 삼성그룹,"10,780",0,0.00%,0,"18,498","171,600",0.02,"309,096",N/A,N/A
